gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
317,168,149,102.0,3.26,1,0,northeastern_university,accept,15
316,167,149,109.0,3.09,0,2,northeastern_university,accept,15
313,167,146,111.0,2.76,30,1,northeastern_university,accept,15
300,151,149,102.0,2.4,42,0,northeastern_university,accept,15
311,162,149,100.0,2.69,30,1,northeastern_university,accept,15
319,165,154,109.0,3.16,5,0,northeastern_university,accept,15
311,167,144,101,3.02,12,0,northeastern_university,accept,15
312,157,155,109.0,2.8,30,0,northeastern_university,accept,15
306,163,143,101,3.3,19,0,northeastern_university,accept,15
305,160,145,107.0,3.24,14,0,northeastern_university,accept,15
316,166,150,106.0,3.2,15,3,northeastern_university,accept,15
309,163,146,101,3.15,25,0,northeastern_university,accept,15
319,162,157,108.0,2.68,0,0,northeastern_university,accept,15
306,157,149,101,1.38,1,0,northeastern_university,accept,15
310,162,148,102.0,2.59,30,1,northeastern_university,accept,15
312,159,153,102.0,2.3,0,0,northeastern_university,accept,15
307,158,149,105.0,2.96,48,1,northeastern_university,accept,15
307,158,149,107.0,3.06,22,0,northeastern_university,accept,15
314,162,152,107.0,2.4,9,0,northeastern_university,accept,15
313,167,146,100.0,2.97,13,0,northeastern_university,accept,15
329,166,163,102.0,2.86,30,0,northeastern_university,accept,15
300,151,149,105.0,2.9,42,0,northeastern_university,accept,15
313,166,147,106.0,2.7,0,2,northeastern_university,accept,15
312,161,151,109.0,3.04,4,0,northeastern_university,accept,15
317,164,153,112.0,3.28,0,3,northeastern_university,accept,15
314,163,151,106.0,2.3,24,0,northeastern_university,accept,15
312,163,149,101.0,2.95,21,0,northeastern_university,accept,15
312,160,152,109.0,2.65,9,0,northeastern_university,accept,15
306,158,148,98.0,2.5,3,3,northeastern_university,accept,15
313,165,148,101.0,2.56,50,0,northeastern_university,accept,15
322,170,152,110.0,2.67,24,3,northeastern_university,accept,15
319,161,158,118.0,2.33,0,0,northeastern_university,accept,15
309,158,151,75.0,3.27,11,0,northeastern_university,accept,15
309,165,144,75.0,3.54,0,0,northeastern_university,accept,15
314,159,155,109.0,2.95,40,0,northeastern_university,accept,15
312,165,147,107.0,3.47,31,0,northeastern_university,accept,15
318,167,151,103.0,3.38,18,3,northeastern_university,accept,15
326,165,161,115.0,2.71,0,3,northeastern_university,accept,15
315,156,159,110.0,2.95,0,0,northeastern_university,accept,15
305,158,147,99.0,2.84,0,3,northeastern_university,accept,15
321,167,154,108.0,3.44,2,0,northeastern_university,accept,15
320,167,153,101.0,2.89,0,0,northeastern_university,accept,15
322,170,152,110.0,3.48,0,0,northeastern_university,accept,15
315,164,151,105.0,3.16,9,0,northeastern_university,accept,15
317,167,150,99.0,2.6,9,3,northeastern_university,accept,15
317,165,152,101.0,2.3,0,0,northeastern_university,accept,15
309,160,149,100.0,2.4,30,2,northeastern_university,accept,15
312,162,150,104.0,3.44,20,3,northeastern_university,accept,15
310,157,153,104.0,3.3,30,0,northeastern_university,accept,15
319,166,153,113.0,2.64,24,0,northeastern_university,accept,15
314,164,150,108.0,3.38,3,3,northeastern_university,accept,15
319,170,149,102.0,3.24,33,0,northeastern_university,accept,15
289,147,142,92.0,2.3,60,0,northeastern_university,accept,15
309,157,152,98.0,3.61,28,0,northeastern_university,accept,15
305,162,143,103.0,3.6,4,3,northeastern_university,accept,15
315,162,153,104.0,3.48,24,0,northeastern_university,accept,15
322,170,152,111.0,3.15,22,0,northeastern_university,accept,15
298,152,146,101,2.25,10,0,northeastern_university,accept,15
324,170,154,105.0,3.31,10,0,northeastern_university,accept,15
331,167,164,112.0,2.62,32,3,northeastern_university,accept,15
319,164,155,103.0,2.45,9,0,northeastern_university,accept,15
314,162,152,108.0,2.6,30,0,northeastern_university,accept,15
320,170,150,104.0,2.65,0,0,northeastern_university,accept,15
324,170,154,101.0,3.08,24,3,northeastern_university,accept,15
